epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6702,1.01765,2.92089,1.16127,0.47849,0.39459,0.39015,0.3013,0.83331,1.56584,1.0143,0.067,3.3033e-05,3.3033e-05
2,78.3191,0.83161,1.2402,1.03938,0.70924,0.50726,0.57619,0.45819,0.66883,0.99377,0.92071,0.0336987,6.50392e-05,6.50392e-05
3,127.078,0.75308,0.98444,0.99002,0.81296,0.56883,0.67906,0.54269,0.60704,0.77721,0.89181,0.000396012,9.57121e-05,9.57121e-05
4,176.511,0.70122,0.85397,0.97249,0.85178,0.59433,0.71643,0.58267,0.57841,0.70689,0.87522,9.40006e-05,9.40006e-05,9.40006e-05
5,217.914,0.67537,0.76316,0.95419,0.79195,0.66088,0.73447,0.5895,0.5863,0.67865,0.88427,9.20008e-05,9.20008e-05,9.20008e-05
6,261.993,0.65876,0.70891,0.94385,0.87286,0.64553,0.75379,0.61177,0.56195,0.63547,0.86832,9.0001e-05,9.0001e-05,9.0001e-05
7,311.825,0.63187,0.67455,0.93259,0.87854,0.67601,0.76349,0.62823,0.54906,0.60693,0.86757,8.80012e-05,8.80012e-05,8.80012e-05
8,352.279,0.62485,0.63973,0.92563,0.84142,0.70624,0.77886,0.64279,0.53106,0.56831,0.8745,8.60014e-05,8.60014e-05,8.60014e-05
9,390.06,0.62676,0.61609,0.927,0.90395,0.68735,0.78368,0.64482,0.52841,0.55986,0.8567,8.40016e-05,8.40016e-05,8.40016e-05
10,438.99,0.60028,0.58542,0.91348,0.86868,0.72264,0.79065,0.66193,0.50963,0.53077,0.84679,8.20018e-05,8.20018e-05,8.20018e-05
11,489.354,0.58906,0.56474,0.90457,0.87976,0.70337,0.79469,0.66134,0.5071,0.54286,0.85039,8.0002e-05,8.0002e-05,8.0002e-05
12,539.196,0.57719,0.55449,0.90642,0.92489,0.70709,0.79064,0.66214,0.51162,0.52348,0.85272,7.80022e-05,7.80022e-05,7.80022e-05
13,588.364,0.56238,0.54984,0.89492,0.85137,0.73578,0.79041,0.66259,0.50314,0.51884,0.84836,7.60024e-05,7.60024e-05,7.60024e-05
14,637.14,0.559,0.52364,0.89863,0.9265,0.6885,0.7983,0.65968,0.50383,0.50592,0.84916,7.40026e-05,7.40026e-05,7.40026e-05
15,685.989,0.56801,0.51706,0.89636,0.91912,0.70235,0.79796,0.66191,0.51384,0.50804,0.85769,7.20028e-05,7.20028e-05,7.20028e-05
16,728.683,0.55127,0.50776,0.89499,0.87889,0.7318,0.80606,0.67656,0.49536,0.48921,0.84016,7.0003e-05,7.0003e-05,7.0003e-05
17,764.944,0.53974,0.49238,0.88477,0.89676,0.7261,0.80554,0.67074,0.49177,0.47864,0.84007,6.80032e-05,6.80032e-05,6.80032e-05
18,804.25,0.54761,0.48748,0.89147,0.92917,0.71376,0.80502,0.67471,0.49155,0.48334,0.84709,6.60034e-05,6.60034e-05,6.60034e-05
19,849.012,0.54405,0.49184,0.89269,0.90753,0.72532,0.80295,0.67626,0.48386,0.47858,0.8407,6.40036e-05,6.40036e-05,6.40036e-05
20,893.754,0.52484,0.47097,0.88481,0.87264,0.74754,0.80899,0.68253,0.47404,0.47885,0.84169,6.20038e-05,6.20038e-05,6.20038e-05
21,938.888,0.52978,0.46701,0.88393,0.90728,0.71053,0.811,0.68298,0.47782,0.47815,0.84013,6.0004e-05,6.0004e-05,6.0004e-05
22,991.418,0.51422,0.44848,0.87424,0.94167,0.71994,0.81301,0.68671,0.48113,0.46329,0.84081,5.80042e-05,5.80042e-05,5.80042e-05
23,1047.72,0.51953,0.45156,0.87404,0.93612,0.70975,0.8171,0.68779,0.47607,0.45664,0.83888,5.60044e-05,5.60044e-05,5.60044e-05
24,1103.79,0.51085,0.44035,0.87475,0.92961,0.73439,0.81854,0.68761,0.47577,0.46373,0.83799,5.40046e-05,5.40046e-05,5.40046e-05
25,1159.6,0.5168,0.44955,0.87601,0.94333,0.71571,0.81532,0.68646,0.47349,0.46376,0.8376,5.20048e-05,5.20048e-05,5.20048e-05
26,1215.27,0.49597,0.43067,0.87138,0.92483,0.72499,0.81577,0.69141,0.47079,0.46646,0.8394,5.0005e-05,5.0005e-05,5.0005e-05
27,1271.11,0.50406,0.43079,0.87175,0.92036,0.73574,0.81864,0.69142,0.46403,0.45987,0.83864,4.80052e-05,4.80052e-05,4.80052e-05
28,1326.75,0.49551,0.41901,0.86471,0.92796,0.74041,0.82754,0.69413,0.4681,0.44176,0.83574,4.60054e-05,4.60054e-05,4.60054e-05
29,1382.94,0.48855,0.41175,0.86506,0.94143,0.72636,0.82437,0.70226,0.45435,0.45153,0.83201,4.40056e-05,4.40056e-05,4.40056e-05
30,1439.13,0.48499,0.40853,0.86299,0.92552,0.73723,0.82128,0.69286,0.46406,0.44369,0.84167,4.20058e-05,4.20058e-05,4.20058e-05
31,1496.34,0.48488,0.40427,0.86645,0.95034,0.72794,0.82651,0.69813,0.4619,0.43731,0.83639,4.0006e-05,4.0006e-05,4.0006e-05
32,1553.58,0.48283,0.40136,0.86025,0.91896,0.74185,0.81827,0.69539,0.45668,0.43517,0.83394,3.80062e-05,3.80062e-05,3.80062e-05
33,1610.79,0.47516,0.38926,0.86276,0.94533,0.73083,0.82272,0.69848,0.44981,0.43016,0.82866,3.60064e-05,3.60064e-05,3.60064e-05
34,1667.95,0.47805,0.39648,0.86103,0.93295,0.73639,0.82371,0.70233,0.44619,0.43417,0.82706,3.40066e-05,3.40066e-05,3.40066e-05
35,1729.15,0.4824,0.38753,0.85388,0.92766,0.74057,0.82461,0.69982,0.44361,0.42093,0.83076,3.20068e-05,3.20068e-05,3.20068e-05
36,1790.74,0.47728,0.39005,0.8611,0.92118,0.74794,0.82886,0.70172,0.43809,0.42963,0.82305,3.0007e-05,3.0007e-05,3.0007e-05
37,1851.91,0.46995,0.38651,0.86002,0.90829,0.76195,0.82578,0.70576,0.43711,0.41606,0.82594,2.80072e-05,2.80072e-05,2.80072e-05
38,1908.97,0.46389,0.37591,0.85616,0.93555,0.74044,0.83189,0.70579,0.44083,0.42077,0.82728,2.60074e-05,2.60074e-05,2.60074e-05
39,1966.85,0.45371,0.37143,0.85204,0.94351,0.72668,0.82583,0.70927,0.4419,0.4187,0.82695,2.40076e-05,2.40076e-05,2.40076e-05
40,2023.91,0.46284,0.37163,0.85222,0.92235,0.74557,0.82365,0.70174,0.44652,0.43037,0.83006,2.20078e-05,2.20078e-05,2.20078e-05
41,2156.08,0.40413,0.30951,0.81949,0.93968,0.74216,0.82246,0.70246,0.4447,0.42038,0.82852,2.0008e-05,2.0008e-05,2.0008e-05
42,2213.19,0.40053,0.31131,0.8177,0.94531,0.73978,0.82113,0.69723,0.44916,0.43677,0.83079,1.80082e-05,1.80082e-05,1.80082e-05
43,10832.5,0.40501,0.31085,0.81945,0.94139,0.74208,0.82431,0.70331,0.43942,0.41505,0.82777,1.60084e-05,1.60084e-05,1.60084e-05
44,10869.9,0.39801,0.30722,0.81984,0.93719,0.74855,0.82614,0.71138,0.43195,0.41305,0.82143,1.40086e-05,1.40086e-05,1.40086e-05
45,10917.6,0.39972,0.30631,0.81837,0.92747,0.75788,0.82379,0.70611,0.43895,0.42205,0.82263,1.20088e-05,1.20088e-05,1.20088e-05
46,10953.9,0.39713,0.30382,0.81857,0.94156,0.74407,0.82414,0.70514,0.43762,0.41974,0.82472,1.0009e-05,1.0009e-05,1.0009e-05
47,10989.8,0.39582,0.29975,0.81323,0.91219,0.76264,0.82462,0.70804,0.43249,0.40985,0.82306,8.0092e-06,8.0092e-06,8.0092e-06
48,11025.8,0.39066,0.29743,0.81587,0.91146,0.76175,0.82512,0.70848,0.43349,0.41595,0.82283,6.0094e-06,6.0094e-06,6.0094e-06
49,11079.7,0.38534,0.29218,0.81591,0.92031,0.7626,0.82693,0.70885,0.43213,0.41278,0.82345,4.0096e-06,4.0096e-06,4.0096e-06
50,11128.8,0.38437,0.29157,0.81951,0.91837,0.77062,0.82819,0.70946,0.43233,0.41248,0.82325,2.0098e-06,2.0098e-06,2.0098e-06
